,OBJECTID,POPULATION,LANG_CODE,LON_X,LAT_Y
21162,21163,566,1,66.2428,35.8256
20044,20045,846,3,66.993,36.343
27825,27826,1126,2,70.4961,34.4393
43366,43367,814,1,62.2358,34.2957
10127,10128,638,3,65.1883,36.95
43825,43826,874,1,65.58276,36.03604
2591,2592,532,2,64.6298,31.8178
29687,29688,760,2,71.4639,35.0272
44202,44203,820,1,68.0227,35.9446
7096,7097,1345,2,63.1782,35.7595
10391,10392,1094,2,66.7035,36.833
30441,30442,561,7,70.7714,35.1249
36868,36869,1086,1,69.0925,34.846
2942,2943,1029,2,64.9567,32.1759
33686,33687,1156,1,69.8962,37.4052
5368,5369,2244,2,64.4065,31.7531
32859,32860,614,1,67.7652,34.7932
23930,23931,2105,2,69.8357,33.8085
17305,17306,1004,2,65.0269,33.5917
14702,14703,821,2,65.4448,32.9585
35153,35154,542,3,69.1909,36.278
35417,35418,758,2,68.676,34.4804
21586,21587,920,3,66.2258,35.8585
10432,10433,975,2,66.7472,36.8414
28662,28663,894,2,70.2358,34.6769
39541,39542,2586,2,69.756,34.5994
10360,10361,826,2,66.725,36.7743
36453,36454,1056,1,71.3492,36.5678
21784,21785,2590,2,67.965,32.6555
5092,5093,615,1,62.2346,34.9105
17309,17310,540,1,64.8665,33.437
10742,10743,536,3,64.8885,36.2833
41037,41038,595,6,69.4184,35.046
42995,42996,766,1,62.2798,34.2102
40900,40901,981,1,69.3106,35.001999999999995
25940,25941,1248,1,67.8086,35.3988
35636,35637,511,1,70.5796,37.6441
26433,26434,810,1,67.6557,36.5041
21859,21860,696,2,68.7532,33.1377
28560,28561,950,2,70.2724,34.708890000000004
28114,28115,1384,2,70.4596,34.0547
9144,9145,888,2,65.77159,31.46994
20281,20282,1537,2,66.8421,36.783
10468,10469,637,2,66.5623,36.7114
23728,23729,1715,2,70.0454,33.6433
33035,33036,950,1,69.45,37.3227
19494,19495,989,2,67.4921,32.7833
42073,42074,516,1,61.63,35.0689
26609,26610,2000,2,69.0108,34.0153
27638,27639,2347,2,70.3248,34.4148
16863,16864,724,1,64.12369,33.126090000000005
9429,9430,737,2,67.3562,32.7464
27355,27356,1233,2,70.1863,34.2166
28024,28025,649,2,70.5638,34.266999999999996
44494,44495,851,2,69.39253000000001,34.96605
37407,37408,885,1,70.1965,36.8064
28506,28507,748,2,71.0457,34.1964
28327,28328,1103,2,70.7468,34.2028
39334,39335,2614,1,69.3016,34.4874
4779,4780,1049,8,63.1576,30.2165
14639,14640,688,2,65.5461,32.8923
41333,41334,965,1,69.15720999999999,36.06175
4298,4299,2465,2,62.0982,32.585
1218,1219,728,1,63.0972,34.3107
5034,5035,1186,1,61.4077,32.1495
2892,2893,1719,2,64.8046,32.1895
20966,20967,596,1,65.7667,36.0508
39904,39905,1157,3,69.501,36.7749
9300,9301,724,2,66.2971,31.8724
19412,19413,1187,2,67.607803,32.743103999999995
5356,5357,813,2,64.3215,31.5977
23053,23054,1708,2,69.7934,33.1783
23893,23894,505,2,69.8059,33.6705
23416,23417,9500,2,69.9169,33.3375
