,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
7000,7001,Yale POP_MASTER,QSR-137,,0,FYB-QSR-137,1371,Pashto,2,1229.9019779999999,35.5932,64.0226,FYB,QSR,Khowja Kante,2806,Qaysar,?????,Faryab,??????,28
7001,7002,Yale POP_MASTER,QSR-093,,0,FYB-QSR-093,385,Dari,1,1426.014038,35.5656,64.0285,FYB,QSR,Dara Khowja Kante Lakhi,2806,Qaysar,?????,Faryab,??????,28
7160,7161,USAID AIDVillageView,QSR-032,,0,FYB-QSR-032,0,Pashto,2,966.6386719000001,35.6596,63.9974,FYB,QSR,Senjetak (3),2806,Qaysar,?????,Faryab,??????,28
7161,7162,CSO AIMS Villages (ACSOR),QSR-236,,0,FYB-QSR-236,764,Pashto,2,818.9929199,35.74474,63.976690000000005,FYB,QSR,Char Shanba Uzbekya (1),2806,Qaysar,?????,Faryab,??????,28
7162,7163,CSO AIMS Villages (ACSOR),QSR-238,,0,FYB-QSR-238,247,Pashto,2,793.6063232000001,35.802620000000005,63.936580000000006,FYB,QSR,Chashma Arbab Khan,2806,Qaysar,?????,Faryab,??????,28
7163,7164,CSO AIMS Villages (ACSOR),QSR-247,,0,FYB-QSR-247,120,Pashto,2,736.9708252,35.84297,63.937380000000005,FYB,QSR,Sar Poza Mohammad Easa,2806,Qaysar,?????,Faryab,??????,28
7164,7165,USAID AIDVillageView,QSR-031,,0,FYB-QSR-031,0,Pashto,2,995.8447266000001,35.6536,64.0029,FYB,QSR,Senjetak (1),2806,Qaysar,?????,Faryab,??????,28
7165,7166,CSO AIMS Villages (ACSOR),QSR-239,,0,FYB-QSR-239,93,Pashto,2,693.3886107999999,35.82707,63.913999999999994,FYB,QSR,Chashma Naik,2806,Qaysar,?????,Faryab,??????,28
7166,7167,CSO AIMS Villages (ACSOR),QSR-237,,0,FYB-QSR-237,1239,Pashto,2,825.3599853999999,35.7517,63.98649,FYB,QSR,Char Shanba Uzbekya (2),2806,Qaysar,?????,Faryab,??????,28
7167,7168,USAID AIDVillageView,QSR-026,,0,FYB-QSR-026,0,Pashto,2,937.3101807,35.6723,64.0199,FYB,QSR,Sar Chashma,2806,Qaysar,?????,Faryab,??????,28
7168,7169,USAID AIDVillageView,QSR-014,,0,FYB-QSR-014,0,Pashto,2,967.9741821,35.6676,64.0295,FYB,QSR,Ghuchghar,2806,Qaysar,?????,Faryab,??????,28
7181,7182,Yale POP_MASTER,QSR-123,,0,FYB-QSR-123,394,Pashto,2,843.6295166000001,35.8056,64.0149,FYB,QSR,Kamarak,2806,Qaysar,?????,Faryab,??????,28
7182,7183,Yale POP_MASTER,QSR-047,,0,FYB-QSR-047,471,Pashto,2,749.5845947,35.722,63.905,FYB,QSR,Ashab Kahf Alte Khowja,2806,Qaysar,?????,Faryab,??????,28
7183,7184,Yale POP_MASTER,QSR-048,,0,FYB-QSR-048,173,Pashto,2,753.6882935,35.7268,63.9019,FYB,QSR,Ashab Kahf Haji Karam,2806,Qaysar,?????,Faryab,??????,28
7184,7185,Yale POP_MASTER,QSR-189,,0,FYB-QSR-189,547,Pashto,2,986.574585,35.6541,63.9934,FYB,QSR,Sar Chashma Senjatak,2806,Qaysar,?????,Faryab,??????,28
7185,7186,Yale POP_MASTER,QSR-124,,0,FYB-QSR-124,127,Pashto,2,861.421875,35.7876,64.0116,FYB,QSR,Kamarak Gul Agha,2806,Qaysar,?????,Faryab,??????,28
7186,7187,Yale POP_MASTER,QSR-181,,0,FYB-QSR-181,196,Pashto,2,778.9708252,35.8137,63.9417,FYB,QSR,Qeshlaq Khalifa Khan,2806,Qaysar,?????,Faryab,??????,28
7187,7188,Yale POP_MASTER,QSR-068,,0,FYB-QSR-068,1037,Pashto,2,818.4260864,35.7242,63.9649,FYB,QSR,Bashalmast Uzbekya,2806,Qaysar,?????,Faryab,??????,28
7188,7189,Yale POP_MASTER,QSR-069,,0,FYB-QSR-069,520,Uzbek,3,783.2689209,35.7245,63.9379,FYB,QSR,Bashlmast Afghaniya,2806,Qaysar,?????,Faryab,??????,28
7189,7190,Yale POP_MASTER,QSR-112,,0,FYB-QSR-112,835,Dari,1,856.1317749,35.7456,64.0166,FYB,QSR,Hazar Qala Afghaniya,2806,Qaysar,?????,Faryab,??????,28
7190,7191,Yale POP_MASTER,QSR-078,,0,FYB-QSR-078,393,Pashto,2,804.4354248,35.7626,63.9654,FYB,QSR,Buz Qoul,2806,Qaysar,?????,Faryab,??????,28
7191,7192,Yale POP_MASTER,QSR-131,,0,FYB-QSR-131,669,Pashto,2,881.7318726,35.8456,64.0361,FYB,QSR,Khowja Aspelin,2806,Qaysar,?????,Faryab,??????,28
7192,7193,Yale POP_MASTER,QSR-222,,0,FYB-QSR-222,405,Uzbek,3,878.1201781999999,35.6995,64.0145,FYB,QSR,Way Mast Kata Rosang,2806,Qaysar,?????,Faryab,??????,28
7193,7194,Yale POP_MASTER,QSR-084,,0,FYB-QSR-084,888,Pashto,2,823.8178711,35.7463,63.9458,FYB,QSR,Char Shanba,2806,Qaysar,?????,Faryab,??????,28
7194,7195,Yale POP_MASTER,QSR-160,,0,FYB-QSR-160,455,Uzbek,3,847.8463744999999,35.7098,63.9924,FYB,QSR,Mirak,2806,Qaysar,?????,Faryab,??????,28
7195,7196,Yale POP_MASTER,QSR-126,,0,FYB-QSR-126,391,Pashto,2,796.1414185,35.7528,63.9266,FYB,QSR,Karaiz Mohammad Gul,2806,Qaysar,?????,Faryab,??????,28
7196,7197,Yale POP_MASTER,QSR-125,,0,FYB-QSR-125,93,Pashto,2,746.6096191,35.759,63.909,FYB,QSR,Karaiz Mahsom Khan,2806,Qaysar,?????,Faryab,??????,28
7197,7198,Yale POP_MASTER,QSR-085,,0,FYB-QSR-085,713,Dari,1,783.6196899,35.7576,63.9462,FYB,QSR,Char Shanba Afghania,2806,Qaysar,?????,Faryab,??????,28
7198,7199,Yale POP_MASTER,QSR-117,,0,FYB-QSR-117,141,Pashto,2,945.4411011,35.6687,63.9904,FYB,QSR,Janab Sahib Senjetak,2806,Qaysar,?????,Faryab,??????,28
7199,7200,Yale POP_MASTER,QSR-205,,0,FYB-QSR-205,388,Dari,1,1229.073975,35.5959,63.9912,FYB,QSR,Sorian,2806,Qaysar,?????,Faryab,??????,28
7200,7201,Yale POP_MASTER,QSR-213,,0,FYB-QSR-213,817,Pashto,2,873.2097777999999,35.8289,64.041,FYB,QSR,Tash Howz,2806,Qaysar,?????,Faryab,??????,28
7201,7202,Yale POP_MASTER,QSR-086,,0,FYB-QSR-086,538,Pashto,2,832.1381226,35.759,63.9897,FYB,QSR,Char Shanba Arabya,2806,Qaysar,?????,Faryab,??????,28
7202,7203,Yale POP_MASTER,QSR-087,,0,FYB-QSR-087,387,Pashto,2,710.0385742000001,35.8263,63.9371,FYB,QSR,Chashma Yambalaq,2806,Qaysar,?????,Faryab,??????,28
7203,7204,Yale POP_MASTER,QSR-088,,0,FYB-QSR-088,96,Pashto,2,732.1975097999999,35.8213,63.9575,FYB,QSR,Chashma Yambalaq Shadi,2806,Qaysar,?????,Faryab,??????,28
7204,7205,Yale POP_MASTER,QSR-092,,0,FYB-QSR-092,503,Uzbek,3,797.8685912999999,35.7114,63.9028,FYB,QSR,Dahan Sanjatak Ashab Kahf,2806,Qaysar,?????,Faryab,??????,28
7205,7206,Yale POP_MASTER,QSR-138,,0,FYB-QSR-138,591,Pashto,2,1056.60498,35.63,64.0125,FYB,QSR,Khowja Kante Afghaniya Jalad Khan,2806,Qaysar,?????,Faryab,??????,28
7206,7207,Yale POP_MASTER,QSR-220,,0,FYB-QSR-220,146,Pashto,2,923.0983887,35.6843,64.0316,FYB,QSR,Way Mast,2806,Qaysar,?????,Faryab,??????,28
7207,7208,Yale POP_MASTER,QSR-089,,0,FYB-QSR-089,160,Pashto,2,917.2224120999999,35.7333,64.0252,FYB,QSR,Chehl Gazi,2806,Qaysar,?????,Faryab,??????,28
7208,7209,Yale POP_MASTER,QSR-183,,0,FYB-QSR-183,417,Pashto,2,979.9000854000001,35.6608,64.028,FYB,QSR,Qouchaghar,2806,Qaysar,?????,Faryab,??????,28
7209,7210,Yale POP_MASTER,QSR-111,,0,FYB-QSR-111,851,Pashto,2,878.414917,35.7387,64.0325,FYB,QSR,Hazar Qala,2806,Qaysar,?????,Faryab,??????,28
7210,7211,Yale POP_MASTER,QSR-188,,0,FYB-QSR-188,632,Uzbek,3,1000.775024,35.6519,64.0251,FYB,QSR,Sar Chashma Qouchghar,2806,Qaysar,?????,Faryab,??????,28
7211,7212,Yale POP_MASTER,QSR-221,,0,FYB-QSR-221,345,Uzbek,3,935.1262816999999,35.6769,64.0157,FYB,QSR,Way Mast Afghani,2806,Qaysar,?????,Faryab,??????,28
10104,10105,USAID AIDVillageView,QGN-001,,0,FYB-QGN-001,0,Uzbek,3,310.2062073,36.9325,65.0862,FYB,QGN,Bagh-i-bustan,2814,Qorghan,?????,Faryab,??????,28
10105,10106,Yale POP_MASTER,QGN-007,,0,FYB-QGN-007,1120,Uzbek,3,308.4827881,36.9514,65.0802,FYB,QGN,Jowilakhe Bala,2814,Qorghan,?????,Faryab,??????,28
10106,10107,Yale POP_MASTER,QGN-008,,0,FYB-QGN-008,1806,Turkmen,4,308.832489,36.9349,65.0828,FYB,QGN,Jowilakhe Payen,2814,Qorghan,?????,Faryab,??????,28
