,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
2081,2082,Yale POP_MASTER,ABK-014,,0,BDG-ABK-014,544,Dari,1,1281.30603,34.8823,62.8229,BDG,ABK,Ahmad Bai,2903,Abkamari,?? ????,Badghis,??????,29
2082,2083,Yale POP_MASTER,ABK-102,,0,BDG-ABK-102,293,Dari,1,1348.5429689999999,34.8366,62.8249,BDG,ABK,Tayel Galam,2903,Abkamari,?? ????,Badghis,??????,29
2083,2084,Yale POP_MASTER,ABK-058,,0,BDG-ABK-058,985,Dari,1,1230.13501,34.8704,62.848,BDG,ABK,Kok Chayel Khaja Pesta,2903,Abkamari,?? ????,Badghis,??????,29
2084,2085,Yale POP_MASTER,ABK-083,,0,BDG-ABK-083,235,Dari,1,1378.905029,34.8463,62.7884,BDG,ABK,Qotoghak,2903,Abkamari,?? ????,Badghis,??????,29
2085,2086,Yale POP_MASTER,ABK-051,,0,BDG-ABK-051,83,Dari,1,1432.996948,34.8211,62.8506,BDG,ABK,Khoja Gul Baid,2903,Abkamari,?? ????,Badghis,??????,29
2086,2087,Yale POP_MASTER,ABK-059,,0,BDG-ABK-059,780,Dari,1,1273.859985,34.8724,62.8396,BDG,ABK,Kok Chayel Zaid Morgh,2903,Abkamari,?? ????,Badghis,??????,29
2103,2104,Yale POP_MASTER,ABK-091,,0,BDG-ABK-091,387,Dari,1,1377.189941,34.8207,62.8277,BDG,ABK,Sar Besha,2903,Abkamari,?? ????,Badghis,??????,29
2104,2105,Yale POP_MASTER,ABK-086,,0,BDG-ABK-086,1209,Dari,1,1289.0310060000002,34.8637,62.817,BDG,ABK,Rowi Awa,2903,Abkamari,?? ????,Badghis,??????,29
2105,2106,Yale POP_MASTER,ABK-039,,0,BDG-ABK-039,887,Dari,1,1299.678955,34.8728,62.8215,BDG,ABK,Ghulam Haider Bai,2903,Abkamari,?? ????,Badghis,??????,29
2106,2107,Yale POP_MASTER,ABK-060,,0,BDG-ABK-060,1004,Dari,1,1287.9279789999998,34.8789,62.8307,BDG,ABK,Kokchayel Qeshlaq Kalan,2903,Abkamari,?? ????,Badghis,??????,29
2107,2108,Yale POP_MASTER,ABK-095,,0,BDG-ABK-095,435,Dari,1,2146.23999,34.6757,62.8336,BDG,ABK,Sena Mullah Mansor,2903,Abkamari,?? ????,Badghis,??????,29
2108,2109,Yale POP_MASTER,ABK-087,,0,BDG-ABK-087,376,Dari,1,1485.472046,34.8055,62.8143,BDG,ABK,Safid Alak,2903,Abkamari,?? ????,Badghis,??????,29
2109,2110,Yale POP_MASTER,ABK-017,,0,BDG-ABK-017,242,Dari,1,1589.8220210000002,34.7975,62.854,BDG,ABK,Baghak Tashbalaq,2903,Abkamari,?? ????,Badghis,??????,29
2110,2111,Yale POP_MASTER,ABK-080,,0,BDG-ABK-080,39,Dari,1,1614.567017,34.7904,62.8355,BDG,ABK,Qakak,2903,Abkamari,?? ????,Badghis,??????,29
