,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
10092,10093,Yale POP_MASTER,MYN-029,,0,JWJ-MYN-029,911,Uzbek,3,286.2284851,37.0275,66.3571,JWJ,MYN,Farooq Qala Turknaniya,2708,Mardyan,??????,Jawzjan,??????,27
10093,10094,USAID AIDVillageView,AQA-040,,0,JWJ-AQA-040,0,Uzbek,3,286.0761108,36.9578,66.1666,JWJ,AQA,Jangal Bagh,2707,Aqcha,????,Jawzjan,??????,27
10094,10095,USAID AIDVillageView,AQA-052,,0,JWJ-AQA-052,0,Uzbek,3,289.69049069999994,36.9431,66.165,JWJ,AQA,Surkhi,2707,Aqcha,????,Jawzjan,??????,27
10095,10096,USAID AIDVillageView,AQA-059,,0,JWJ-AQA-059,0,Uzbek,3,290.842804,36.9291,66.1556,JWJ,AQA,Yang Ariq (2),2707,Aqcha,????,Jawzjan,??????,27
10096,10097,Yale POP_MASTER,AQA-013,,0,JWJ-AQA-013,1233,Uzbek,3,288.0441895,36.9448,66.1452,JWJ,AQA,Jeza,2707,Aqcha,????,Jawzjan,??????,27
10097,10098,Yale POP_MASTER,AQA-015,,0,JWJ-AQA-015,1135,Pashto,2,290.2199097,36.9286,66.1726,JWJ,AQA,Kharabat Kocha,2707,Aqcha,????,Jawzjan,??????,27
10098,10099,Yale POP_MASTER,AQA-029,,0,JWJ-AQA-029,313,Uzbek,3,287.72601319999995,36.9368,66.1576,JWJ,AQA,Qemaraq Watani,2707,Aqcha,????,Jawzjan,??????,27
10099,10100,Yale POP_MASTER,AQA-031,,0,JWJ-AQA-031,1406,Turkmen,4,288.15631099999996,36.9436,66.1738,JWJ,AQA,Shairak,2707,Aqcha,????,Jawzjan,??????,27
10100,10101,Yale POP_MASTER,MJK-054,,0,JWJ-MJK-054,162,Dari,1,288.7419128,36.9349,66.1398,JWJ,MJK,Mangaraq Surkh,2702,Mingajik,?????,Jawzjan,??????,27
10101,10102,Yale POP_MASTER,MJK-033,,0,JWJ-MJK-033,455,Hazaragi,8,288.03930660000003,36.9091,66.0272,JWJ,MJK,Air Kalay,2702,Mingajik,?????,Jawzjan,??????,27
10102,10103,Yale POP_MASTER,KQA-017,,0,JWJ-KQA-017,77,Turkmen,4,291.8250122,36.8668,66.0324,JWJ,KQA,Qara Poyen Taza Nahr,2706,Khanaqa,?????,Jawzjan,??????,27
10103,10104,Yale POP_MASTER,KQA-020,,0,JWJ-KQA-020,344,Uzbek,3,289.36648560000003,36.8806,66.02,JWJ,KQA,Taza Nahr,2706,Khanaqa,?????,Jawzjan,??????,27
10136,10137,USAID AIDVillageView,KDK-005,,0,JWJ-KDK-005,0,Uzbek,3,276.969696,36.9924,65.4843,JWJ,KDK,Jar Quduq,2703,Khwajadukoh,????? ?????,Jawzjan,??????,27
10137,10138,USAID AIDVillageView,KDK-014,,0,JWJ-KDK-014,0,Uzbek,3,301.56579589999996,36.8464,65.5866,JWJ,KDK,Taza Qishlaq,2703,Khwajadukoh,????? ?????,Jawzjan,??????,27
10138,10139,Yale POP_MASTER,KDK-024,,0,JWJ-KDK-024,60,Uzbek,3,300.8223877,36.8405,65.5772,JWJ,KDK,Khoja Dokoh Afghaniya,2703,Khwajadukoh,????? ?????,Jawzjan,??????,27
10139,10140,USAID AIDVillageView,FB2-002,,0,JWJ-FB2-002,0,Dari,1,315.2983093,36.7775,66.491,JWJ,FB2,Bezgak,2705,Fayzabad,??? ????,Jawzjan,??????,27
