,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
17,18,USAID AIDVillageView,DAR-003,,0,KDZ-DAR-003,0,Pashto,2,429.31509400000004,36.9959,69.1088,KDZ,DAR,Besh Qutan,1707,Dasht-e-Archi,??? ????,Kunduz,????,17
18,19,USAID AIDVillageView,DAR-007,,0,KDZ-DAR-007,0,Uzbek,3,918.5366211000002,36.8327,69.2504,KDZ,DAR,Gul Bulaq,1707,Dasht-e-Archi,??? ????,Kunduz,????,17
26,27,USAID AIDVillageView,CHD-006,,0,KDZ-CHD-006,0,Dari,1,399.71078489999996,36.6607,68.829,KDZ,CHD,Gharaw Qeshlaq,1704,Chardarah,???? ???,Kunduz,????,17
37,38,USAID AIDVillageView,KNB-008,,0,KDZ-KNB-008,0,Dari,1,474.8533019999999,36.6454,69.1149,KDZ,KNB,Chahar Tut,1706,Khanabad,??? ????,Kunduz,????,17
38,39,CSO AIMS Villages (ACSOR),KDZ-186,,0,KDZ-KDZ-186,123,Dari,1,412.737915,36.672740000000005,68.92952,KDZ,KDZ,Arab-ha (1),1701,Kunduz,????,Kunduz,????,17
29836,29837,Yale POP_MASTER,QEZ-028,,0,KDZ-QEZ-028,817,Turkmen,4,313.2723084,36.9209,68.0532,KDZ,QEZ,Khisht Tepa,1703,Qala-e-Zal,???? ???,Kunduz,????,17
29871,29872,USAID AIDVillageView,IMS-027,,0,KDZ-IMS-027,0,Pashto,2,337.2803955,37.2513,68.885,KDZ,IMS,Orta Buz,1702,Emamsaheb,???? ????,Kunduz,????,17
29872,29873,Yale POP_MASTER,IMS-171,,0,KDZ-IMS-171,1191,Turkmen,4,335.8617859,37.2528,68.8771,KDZ,IMS,Warteen,1702,Emamsaheb,???? ????,Kunduz,????,17
29873,29874,Yale POP_MASTER,IMS-098,,0,KDZ-IMS-098,419,Pashto,2,332.9511108,37.2596,68.8672,KDZ,IMS,Jangal Safah Wartabuz,1702,Emamsaheb,???? ????,Kunduz,????,17
29874,29875,Yale POP_MASTER,IMS-173,,0,KDZ-IMS-173,1149,Pashto,2,345.5480957,37.2582,68.9987,KDZ,IMS,Yaka Tout Aq Masjed,1702,Emamsaheb,???? ????,Kunduz,????,17
