,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
10142,10143,CSO AIMS Villages (ACSOR),CBK-010,,0,BLK-CBK-010,340,Dari,1,313.8544006,36.79987,66.53084,BLK,CBK,Malik Sayid Halam Kalay,1812,Charbulak,??? ????,Balkh,???,18
10155,10156,Yale POP_MASTER,CEL-037,,0,BLK-CEL-037,1691,Pashto,2,318.0473938,36.756,66.5051,BLK,CEL,Bait Paikal,1813,Chemtal,?????,Balkh,???,18
10156,10157,Yale POP_MASTER,CEL-154,,0,BLK-CEL-154,718,Pashto,2,319.4908142,36.7453,66.5229,BLK,CEL,Shash Paikal,1813,Chemtal,?????,Balkh,???,18
10293,10294,USAID AIDVillageView,BAH-001,,0,BLK-BAH-001,0,Pashto,2,323.175415,36.8558,66.7901,BLK,BAH,Dandowkai,1805,Balkh,???,Balkh,???,18
10294,10295,USAID AIDVillageView,BAH-015,,0,BLK-BAH-015,0,Pashto,2,330.47650150000004,36.8104,66.7863,BLK,BAH,Walakai Nur Mahmad,1805,Balkh,???,Balkh,???,18
10295,10296,CSO AIMS Villages (ACSOR),BAH-018,,0,BLK-BAH-018,238,Pashto,2,324.86730960000006,36.823240000000006,66.76929,BLK,BAH,Noward Khasbak,1805,Balkh,???,Balkh,???,18
10296,10297,USAID AIDVillageView,CBK-001,,0,BLK-CBK-001,0,Pashto,2,324.9017029,36.7752,66.6473,BLK,CBK,Aq Tepa (2),1812,Charbulak,??? ????,Balkh,???,18
10297,10298,USAID AIDVillageView,CBK-002,,0,BLK-CBK-002,0,Pashto,2,328.23379520000003,36.8235,66.7366,BLK,CBK,Dilas,1812,Charbulak,??? ????,Balkh,???,18
10298,10299,USAID AIDVillageView,CBK-004,,0,BLK-CBK-004,0,Pashto,2,330.0874023,36.8087,66.7376,BLK,CBK,Nauwarid (1),1812,Charbulak,??? ????,Balkh,???,18
10299,10300,USAID AIDVillageView,CBK-005,,0,BLK-CBK-005,0,Pashto,2,322.12249760000003,36.8585,66.6752,BLK,CBK,Nauwarid (2),1812,Charbulak,??? ????,Balkh,???,18
10300,10301,USAID AIDVillageView,CBK-006,,0,BLK-CBK-006,0,Pashto,2,324.8597107,36.848,66.6894,BLK,CBK,Nauwarid (3),1812,Charbulak,??? ????,Balkh,???,18
10301,10302,USAID AIDVillageView,CBK-008,,0,BLK-CBK-008,0,Pashto,2,327.6760864,36.7396,66.6199,BLK,CBK,Zigzig,1812,Charbulak,??? ????,Balkh,???,18
10302,10303,Yale POP_MASTER,DW2-011,,0,BLK-DW2-011,1097,Turkmen,4,312.00280760000004,36.929,66.67399999999999,BLK,DW2,Dahi Daraz,1804,Dawlatabad,???? ????,Balkh,???,18
10303,10304,Yale POP_MASTER,DW2-022,,0,BLK-DW2-022,838,Dari,1,315.16210939999996,36.9011,66.6717,BLK,DW2,Elewari,1804,Dawlatabad,???? ????,Balkh,???,18
10304,10305,Yale POP_MASTER,DW2-023,,0,BLK-DW2-023,94,Pashto,2,313.6115112,36.904,66.6621,BLK,DW2,Elewari Now Arid,1804,Dawlatabad,???? ????,Balkh,???,18
10305,10306,Yale POP_MASTER,DW2-025,,0,BLK-DW2-025,1201,Pashto,2,312.8652039,36.9384,66.6793,BLK,DW2,Hasheqan,1804,Dawlatabad,???? ????,Balkh,???,18
10306,10307,Yale POP_MASTER,DW2-048,,0,BLK-DW2-048,136,Uzbek,3,314.6115112,36.9141,66.7097,BLK,DW2,Nowarid Adina Masjed,1804,Dawlatabad,???? ????,Balkh,???,18
