,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
29906,29907,USAID AIDVillageView,ARO-144,,0,BDK-ARO-144,0,Uzbek,3,952.4202881000001,37.1739,70.22399999999999,BDK,ARO,Dahan-i-darrah,1503,Argo,????,Badakhshan,??????,15
29907,29908,USAID AIDVillageView,ARO-159,,0,BDK-ARO-159,0,Uzbek,3,997.246582,37.1708,70.22399999999999,BDK,ARO,Maghzar,1503,Argo,????,Badakhshan,??????,15
29908,29909,USAID AIDVillageView,ARO-165,,0,BDK-ARO-165,0,Uzbek,3,931.5297852,37.1495,70.194,BDK,ARO,Quchi,1503,Argo,????,Badakhshan,??????,15
33658,33659,Yale POP_MASTER,SEB-042,,0,BDK-SEB-042,927,Dari,1,1878.19397,37.4135,70.0082,BDK,SEB,Kham Ab,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
33659,33660,Yale POP_MASTER,SEB-078,,0,BDK-SEB-078,421,Dari,1,1583.692993,37.5088,70.0296,BDK,SEB,Waiski,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34288,34289,USAID AIDVillageView,SEB-001,,0,BDK-SEB-001,0,Dari,1,1519.344971,37.3492,70.1227,BDK,SEB,Bulbul Dara,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34289,34290,USAID AIDVillageView,SEB-002,,0,BDK-SEB-002,0,Dari,1,1699.301025,37.4633,70.2398,BDK,SEB,Deh Tut,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34290,34291,USAID AIDVillageView,SEB-003,,0,BDK-SEB-003,0,Dari,1,1775.567017,37.4633,70.2421,BDK,SEB,Dih Tuti Bala,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34306,34307,USAID AIDVillageView,SEB-005,,0,BDK-SEB-005,0,Dari,1,844.1140747000002,37.4962,70.1621,BDK,SEB,Panimor,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34307,34308,USAID AIDVillageView,SEB-006,,0,BDK-SEB-006,0,Dari,1,1196.865967,37.5191,70.0567,BDK,SEB,Qalati,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34308,34309,USAID AIDVillageView,YFS-006,,0,BDK-YFS-006,0,Dari,1,2103.2028809999997,37.2904,70.2717,BDK,YFS,Ghozmargh,1502,Yaftal-e-Sufla,???? ????,Badakhshan,??????,15
34309,34310,USAID AIDVillageView,YFS-014,,0,BDK-YFS-014,0,Dari,1,2029.864014,37.255,70.2185,BDK,YFS,Sari Kanda,1502,Yaftal-e-Sufla,???? ????,Badakhshan,??????,15
34310,34311,CSO AIMS Villages (ACSOR),YWN-008,,0,BDK-YWN-008,675,Dari,1,1645.2810060000002,37.5333,70.21855,BDK,YWN,Reman,1507,Yawan,?????,Badakhshan,??????,15
34311,34312,USAID AIDVillageView,ARO-169,,0,BDK-ARO-169,0,Dari,1,899.6279297,37.1012,70.16199999999999,BDK,ARO,Shah Wazir,1503,Argo,????,Badakhshan,??????,15
34315,34316,Yale POP_MASTER,SEB-008,,0,BDK-SEB-008,1170,Dari,1,1539.980957,37.4956,70.2396,BDK,SEB,Ab Ganda,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34316,34317,Yale POP_MASTER,SEB-009,,0,BDK-SEB-009,546,Dari,1,1450.612061,37.4598,70.1414,BDK,SEB,Akhmastan,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34317,34318,Yale POP_MASTER,SEB-010,,0,BDK-SEB-010,872,Dari,1,1846.660034,37.2199,70.0542,BDK,SEB,Angariyan,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34318,34319,Yale POP_MASTER,SEB-011,,0,BDK-SEB-011,134,Uzbek,3,1450.266968,37.1954,70.1334,BDK,SEB,Arj Kham,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34319,34320,Yale POP_MASTER,SEB-012,,0,BDK-SEB-012,1044,Dari,1,1770.994995,37.4753,70.03399999999999,BDK,SEB,Aspkhowa Ya Aspakha,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34320,34321,Yale POP_MASTER,SEB-013,,0,BDK-SEB-013,591,Uzbek,3,1125.6290279999998,37.1256,70.1683,BDK,SEB,Bar Lass,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34321,34322,Yale POP_MASTER,SEB-014,,0,BDK-SEB-014,810,Dari,1,1975.69104,37.3544,70.0436,BDK,SEB,Bary Kham,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34322,34323,Yale POP_MASTER,SEB-015,,0,BDK-SEB-015,633,Dari,1,2002.837036,37.4025,70.0846,BDK,SEB,Chaka Kha,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34323,34324,Yale POP_MASTER,SEB-016,,0,BDK-SEB-016,239,Dari,1,1128.235962,37.4808,70.2104,BDK,SEB,Chashma Khareta,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34324,34325,Yale POP_MASTER,SEB-017,,0,BDK-SEB-017,810,Dari,1,1429.756958,37.4789,70.2405,BDK,SEB,Chehl Kam Shahr,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
34325,34326,Yale POP_MASTER,SEB-018,,0,BDK-SEB-018,837,Dari,1,1964.79895,37.4076,70.1356,BDK,SEB,Chogani,1508,Shahr-e-Buzorg,??? ????,Badakhshan,??????,15
