,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
10892,10893,CSO AIMS Villages (ACSOR),GIB-005,,0,DYK-GIB-005,0,Dari,1,1247.660034,33.155879999999996,65.97491,DYK,GIB,Kendir,2205,Gizab,?????,Daykundi,???????,22
10893,10894,Yale POP_MASTER,GIB-054,,0,DYK-GIB-054,393,Dari,1,1238.526001,33.1663,65.9952,DYK,GIB,Duromi,2205,Gizab,?????,Daykundi,???????,22
10895,10896,USAID AIDVillageView,KRN-001,,0,DYK-KRN-001,0,Dari,1,1386.7540279999998,33.1428,65.5978,DYK,KRN,Garghal,2208,Kajran,?????,Daykundi,???????,22
10896,10897,USAID AIDVillageView,KRN-003,,0,DYK-KRN-003,0,Dari,1,1325.139038,33.1589,65.6185,DYK,KRN,Minara,2208,Kajran,?????,Daykundi,???????,22
10897,10898,USAID AIDVillageView,KRN-006,,0,DYK-KRN-006,0,Dari,1,1323.19397,33.1546,65.5977,DYK,KRN,Tarnik,2208,Kajran,?????,Daykundi,???????,22
10919,10920,Yale POP_MASTER,KRN-010,,0,DYK-KRN-010,933,Dari,1,1231.344971,33.1942,65.6096,DYK,KRN,Arwana,2208,Kajran,?????,Daykundi,???????,22
10920,10921,Yale POP_MASTER,KRN-013,,0,DYK-KRN-013,679,Dari,1,1255.838013,33.2218,65.6898,DYK,KRN,Baghban,2208,Kajran,?????,Daykundi,???????,22
10921,10922,Yale POP_MASTER,KRN-014,,0,DYK-KRN-014,299,Dari,1,1449.420044,33.2597,65.7242,DYK,KRN,Baidak,2208,Kajran,?????,Daykundi,???????,22
10922,10923,Yale POP_MASTER,KRN-015,,0,DYK-KRN-015,621,Pashto,2,1208.505005,33.1491,65.5725,DYK,KRN,Bala Dasht,2208,Kajran,?????,Daykundi,???????,22
10923,10924,Yale POP_MASTER,KRN-020,,0,DYK-KRN-020,629,Dari,1,1256.3540039999998,33.2095,65.6872,DYK,KRN,Biwa,2208,Kajran,?????,Daykundi,???????,22
10924,10925,Yale POP_MASTER,KRN-024,,0,DYK-KRN-024,284,Dari,1,1309.777954,33.2418,65.7072,DYK,KRN,Dahan-i-kho Jowi,2208,Kajran,?????,Daykundi,???????,22
10925,10926,Yale POP_MASTER,KRN-028,,0,DYK-KRN-028,122,Dari,1,1386.7709960000002,33.2312,65.7439,DYK,KRN,Du Abi,2208,Kajran,?????,Daykundi,???????,22
10926,10927,Yale POP_MASTER,KRN-041,,0,DYK-KRN-041,427,Dari,1,1269.2230220000001,33.2335,65.6918,DYK,KRN,Kaftar Abad (qambar Abad),2208,Kajran,?????,Daykundi,???????,22
10927,10928,Yale POP_MASTER,KRN-042,,0,DYK-KRN-042,922,Dari,1,1221.534058,33.1763,65.5886,DYK,KRN,Kandui Bala,2208,Kajran,?????,Daykundi,???????,22
10928,10929,Yale POP_MASTER,KRN-043,,0,DYK-KRN-043,995,Dari,1,1216.338989,33.1596,65.5865,DYK,KRN,Kandui Payen,2208,Kajran,?????,Daykundi,???????,22
10929,10930,Yale POP_MASTER,KRN-046,,0,DYK-KRN-046,190,Dari,1,1410.473999,33.2629,65.7057,DYK,KRN,Khak Chil,2208,Kajran,?????,Daykundi,???????,22
10930,10931,Yale POP_MASTER,KRN-048,,0,DYK-KRN-048,409,Dari,1,1245.640991,33.1961,65.6701,DYK,KRN,Kharak,2208,Kajran,?????,Daykundi,???????,22
10931,10932,Yale POP_MASTER,KRN-050,,0,DYK-KRN-050,602,Dari,1,1324.483032,33.2359,65.7208,DYK,KRN,Kho Jowi,2208,Kajran,?????,Daykundi,???????,22
10932,10933,Yale POP_MASTER,KRN-054,,0,DYK-KRN-054,818,Dari,1,1285.524048,33.1827,65.6391,DYK,KRN,Lakh Tukhi,2208,Kajran,?????,Daykundi,???????,22
10933,10934,Yale POP_MASTER,KRN-055,,0,DYK-KRN-055,425,Pashto,2,1397.77002,33.2766,65.7311,DYK,KRN,Landay Baidak,2208,Kajran,?????,Daykundi,???????,22
10934,10935,Yale POP_MASTER,KRN-059,,0,DYK-KRN-059,599,Pashto,2,1210.0,33.1608,65.58,DYK,KRN,Mast Ali,2208,Kajran,?????,Daykundi,???????,22
10935,10936,Yale POP_MASTER,KRN-065,,0,DYK-KRN-065,398,Dari,1,1239.577026,33.1862,65.6518,DYK,KRN,Nasu,2208,Kajran,?????,Daykundi,???????,22
10936,10937,Yale POP_MASTER,KRN-067,,0,DYK-KRN-067,542,Dari,1,1265.0860599999999,33.236999999999995,65.6964,DYK,KRN,Panha Jo,2208,Kajran,?????,Daykundi,???????,22
10937,10938,Yale POP_MASTER,KRN-075,,0,DYK-KRN-075,766,Dari,1,1470.022949,33.2954,65.6716,DYK,KRN,Qol Alo,2208,Kajran,?????,Daykundi,???????,22
10938,10939,Yale POP_MASTER,KRN-076,,0,DYK-KRN-076,680,Dari,1,1421.881958,33.2781,65.6849,DYK,KRN,Qoul Alu,2208,Kajran,?????,Daykundi,???????,22
10939,10940,Yale POP_MASTER,KRN-080,,0,DYK-KRN-080,578,Dari,1,1218.860962,33.187,65.5934,DYK,KRN,Sad Mani,2208,Kajran,?????,Daykundi,???????,22
10940,10941,Yale POP_MASTER,KRN-091,,0,DYK-KRN-091,688,Dari,1,1267.802002,33.1927,65.6678,DYK,KRN,Sorkh Sarak,2208,Kajran,?????,Daykundi,???????,22
10941,10942,Yale POP_MASTER,KRN-098,,0,DYK-KRN-098,179,Dari,1,1221.57605,33.1791,65.6024,DYK,KRN,Tangi (1),2208,Kajran,?????,Daykundi,???????,22
10942,10943,Yale POP_MASTER,KRN-103,,0,DYK-KRN-103,306,Pashto,2,1239.2709960000002,33.1898,65.6294,DYK,KRN,Zan Talaq,2208,Kajran,?????,Daykundi,???????,22
10953,10954,Yale POP_MASTER,KRN-021,,0,DYK-KRN-021,366,Dari,1,1419.777954,33.2441,65.4749,DYK,KRN,Boka,2208,Kajran,?????,Daykundi,???????,22
10954,10955,Yale POP_MASTER,KRN-025,,0,DYK-KRN-025,164,Dari,1,1227.005005,33.1716,65.5768,DYK,KRN,Dahan-i-say,2208,Kajran,?????,Daykundi,???????,22
10960,10961,Yale POP_MASTER,KRN-044,,0,DYK-KRN-044,908,Dari,1,1309.18396,33.2116,65.533,DYK,KRN,Karaiz,2208,Kajran,?????,Daykundi,???????,22
10968,10969,Yale POP_MASTER,KRN-092,,0,DYK-KRN-092,1077,Dari,1,1302.780029,33.2076,65.5215,DYK,KRN,Suf,2208,Kajran,?????,Daykundi,???????,22
10969,10970,Yale POP_MASTER,KRN-093,,0,DYK-KRN-093,857,Dari,1,1457.362061,33.2326,65.5909,DYK,KRN,Suliman Abad,2208,Kajran,?????,Daykundi,???????,22
10972,10973,Yale POP_MASTER,KRN-105,,0,DYK-KRN-105,93,Pashto,2,1327.427002,33.1882,65.5762,DYK,KRN,Zard Gim,2208,Kajran,?????,Daykundi,???????,22
10974,10975,Yale POP_MASTER,KRN-107,,0,DYK-KRN-107,294,Dari,1,1317.3439939999998,33.2018,65.5073,DYK,KRN,Zard Sang (2),2208,Kajran,?????,Daykundi,???????,22
11045,11046,USAID AIDVillageView,GAI-013,,0,DYK-GAI-013,0,Dari,1,2214.35791,33.6617,65.8451,DYK,GAI,Qole Said,2204,kiti,????,Daykundi,???????,22
11046,11047,CSO AIMS Villages (ACSOR),GAI-019,,0,DYK-GAI-019,0,Dari,1,1505.109985,33.388259999999995,65.70727,DYK,GAI,Chanarak,2204,kiti,????,Daykundi,???????,22
11047,11048,CSO AIMS Villages (ACSOR),GAI-020,,0,DYK-GAI-020,243,Dari,1,1576.621948,33.386379999999996,65.70364000000001,DYK,GAI,Chinarak,2204,kiti,????,Daykundi,???????,22
11048,11049,CSO AIMS Villages (ACSOR),GAI-021,,0,DYK-GAI-021,0,Dari,1,1424.130981,33.34629,65.76519,DYK,GAI,Gharenj (1),2204,kiti,????,Daykundi,???????,22
11049,11050,CSO AIMS Villages (ACSOR),GAI-022,,0,DYK-GAI-022,0,Dari,1,1412.581055,33.44846,65.69717,DYK,GAI,Gharenj (2),2204,kiti,????,Daykundi,???????,22
11050,11051,CSO AIMS Villages (ACSOR),GAI-030,,0,DYK-GAI-030,406,Dari,1,2179.667969,33.67328,65.75883,DYK,GAI,Sheena (1),2204,kiti,????,Daykundi,???????,22
11051,11052,CSO AIMS Villages (ACSOR),GAI-031,,0,DYK-GAI-031,1009,Dari,1,1651.946045,33.43007,65.83973,DYK,GAI,Sheena (2),2204,kiti,????,Daykundi,???????,22
11052,11053,CSO AIMS Villages (ACSOR),GAI-032,,0,DYK-GAI-032,0,Dari,1,1667.2810060000002,33.43184,65.8401,DYK,GAI,Shinya,2204,kiti,????,Daykundi,???????,22
11053,11054,CSO AIMS Villages (ACSOR),GAI-033,,0,DYK-GAI-033,0,Dari,1,1704.0720210000002,33.4542,65.74699,DYK,GAI,Sirak,2204,kiti,????,Daykundi,???????,22
11060,11061,CSO AIMS Villages (ACSOR),GAI-018,,0,DYK-GAI-018,0,Dari,1,1555.800049,33.559779999999996,65.65526,DYK,GAI,Chahe Gurg,2204,kiti,????,Daykundi,???????,22
11061,11062,CSO AIMS Villages (ACSOR),GAI-025,,0,DYK-GAI-025,55,Dari,1,1840.635986,33.6501,65.69462,DYK,GAI,Ispi Dank,2204,kiti,????,Daykundi,???????,22
11063,11064,CSO AIMS Villages (ACSOR),GAI-028,,0,DYK-GAI-028,154,Dari,1,2017.6459960000002,33.61911,65.69887,DYK,GAI,Sar-i-bom (1),2204,kiti,????,Daykundi,???????,22
11064,11065,CSO AIMS Villages (ACSOR),GAI-029,,0,DYK-GAI-029,322,Dari,1,2062.4379879999997,33.69188,65.7185,DYK,GAI,Sar-i-bom (2),2204,kiti,????,Daykundi,???????,22
11065,11066,CSO AIMS Villages (ACSOR),GAI-034,,0,DYK-GAI-034,49,Dari,1,1716.4520260000002,33.50653,65.64315,DYK,GAI,Zarni,2204,kiti,????,Daykundi,???????,22
11066,11067,CSO AIMS Villages (ACSOR),KAR-007,,0,DYK-KAR-007,54,Dari,1,2022.531006,33.77773,65.61005,DYK,KAR,Asp Murda (1),2203,Khadir,????,Daykundi,???????,22
