,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
4,5,USAID AIDVillageView,BLB-049,,0,FAR-BLB-049,0,Pashto,2,865.8900146,32.5832,62.7519,FAR,BLB,Shahrak (2),3103,Balabuluk,???? ????,Farah,????,31
22,23,USAID AIDVillageView,KSD-009,,0,FAR-KSD-009,0,Dari,1,985.3781127999998,32.8248,62.0867,FAR,KSD,Other,3104,Khak-e-Safed,??? ????,Farah,????,31
70,71,USAID AIDVillageView,ANA-001,,0,FAR-ANA-001,0,Pashto,2,841.4927979,33.355,61.2537,FAR,ANA,Gologa,3111,Anardara,???? ???,Farah,????,31
71,72,USAID AIDVillageView,ANA-002,,0,FAR-ANA-002,0,Pashto,2,683.0709228999999,33.4645,60.8665,FAR,ANA,Kalateh-ye Nazar Khan,3111,Anardara,???? ???,Farah,????,31
72,73,Yale POP_MASTER,ANA-013,,0,FAR-ANA-013,140,Pashto,2,855.8319092,32.8045,61.4482,FAR,ANA,Daghal,3111,Anardara,???? ???,Farah,????,31
73,74,Yale POP_MASTER,ANA-019,,0,FAR-ANA-019,235,Pashto,2,918.6582030999999,32.9877,61.3194,FAR,ANA,Gora Safid,3111,Anardara,???? ???,Farah,????,31
74,75,Yale POP_MASTER,ANA-021,,0,FAR-ANA-021,169,Pashto,2,920.0294188999999,33.0001,61.3302,FAR,ANA,Kala Chah,3111,Anardara,???? ???,Farah,????,31
75,76,Yale POP_MASTER,BKA-053,,0,FAR-BKA-053,638,Dari,1,696.6069946,32.0161,62.8193,FAR,BKA,Now Abad,3102,Bakwa,?????,Farah,????,31
213,214,Yale POP_MASTER,LJN-052,,0,FAR-LJN-052,203,Dari,1,528.7628784,31.8216,61.5874,FAR,LJN,Porkha Bala,3108,Lash-e-Juwayn,??? ????,Farah,????,31
214,215,Yale POP_MASTER,LJN-053,,0,FAR-LJN-053,304,Dari,1,552.0031127999999,31.927,61.6226,FAR,LJN,Qala Now Ya Pair Kandar,3108,Lash-e-Juwayn,??? ????,Farah,????,31
