,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
30334,30335,Yale POP_MASTER,NUR-003,,0,NRS-NUR-003,747,Hazaragi,8,2848.9951170000004,35.451,70.9305,NRS,NUR,Ashtewi,1401,Poruns,?????,Nuristan,???????,14
30335,30336,Yale POP_MASTER,MDL-034,,0,NRS-MDL-034,476,Uzbek,3,2749.926025,35.2132,70.0846,NRS,MDL,Kaywest,1402,Mandol,?????,Nuristan,???????,14
30336,30337,USAID AIDVillageView,DUB-001,,0,NRS-DUB-001,0,Pashto,2,1939.9119870000002,35.1337,70.3708,NRS,DUB,Bajagal,1403,Duab,?? ??,Nuristan,???????,14
30337,30338,USAID AIDVillageView,DUB-005,,0,NRS-DUB-005,0,Pashto,2,1979.8489989999998,35.1901,70.3616,NRS,DUB,Palagul,1403,Duab,?? ??,Nuristan,???????,14
30338,30339,Yale POP_MASTER,DUB-019,,0,NRS-DUB-019,265,Pashto,2,1954.823975,35.1346,70.3746,NRS,DUB,Kori,1403,Duab,?? ??,Nuristan,???????,14
30339,30340,Yale POP_MASTER,DUB-027,,0,NRS-DUB-027,1270,Hazaragi,8,2569.594971,35.1293,70.3912,NRS,DUB,Yari Das Kalan,1403,Duab,?? ??,Nuristan,???????,14
30341,30342,USAID AIDVillageView,KDH-001,,0,NRS-KDH-001,0,Nuristani,7,2075.01001,35.4467,71.4019,NRS,KDH,Bakolshata,1407,Kamdesh,??????,Nuristan,???????,14
30342,30343,USAID AIDVillageView,KDH-002,,0,NRS-KDH-002,0,Nuristani,7,1869.293945,35.3932,71.3162,NRS,KDH,Kushtoz,1407,Kamdesh,??????,Nuristan,???????,14
30343,30344,USAID AIDVillageView,KDH-003,,0,NRS-KDH-003,0,Nuristani,7,1501.535034,35.4353,71.3217,NRS,KDH,Mandagal Bande,1407,Kamdesh,??????,Nuristan,???????,14
30344,30345,USAID AIDVillageView,KDH-004,,0,NRS-KDH-004,0,Nuristani,7,1989.1540530000002,35.4659,71.3908,NRS,KDH,Mospameshal,1407,Kamdesh,??????,Nuristan,???????,14
