,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
2179,2180,USAID AIDVillageView,DWD-025,,0,URG-DWD-025,0,Pashto,2,1485.641968,32.48,65.4975,URG,DWD,Morchay,2304,Dehrawud,??????,Uruzgan,??????,23
2185,2186,USAID AIDVillageView,DWD-009,,0,URG-DWD-009,0,Pashto,2,1351.696045,32.5996,65.6749,URG,DWD,Chenar (2),2304,Dehrawud,??????,Uruzgan,??????,23
2186,2187,USAID AIDVillageView,DWD-013,,0,URG-DWD-013,0,Pashto,2,1213.609985,32.6192,65.6629,URG,DWD,Jangal (1),2304,Dehrawud,??????,Uruzgan,??????,23
2187,2188,USAID AIDVillageView,TRK-003,,0,URG-TRK-003,0,Pashto,2,1342.869019,32.5522,65.6883,URG,TRK,Garni Karez,2301,Tirinkot,????????,Uruzgan,??????,23
2188,2189,CSO AIMS Villages (ACSOR),TRK-009,,0,URG-TRK-009,0,Pashto,2,1369.272949,32.53127,65.72524,URG,TRK,Burgana Karez,2301,Tirinkot,????????,Uruzgan,??????,23
2189,2190,CSO AIMS Villages (ACSOR),TRK-017,,0,URG-TRK-017,0,Pashto,2,1310.399048,32.53284,65.70618,URG,TRK,Kanda Karez,2301,Tirinkot,????????,Uruzgan,??????,23
2195,2196,Yale POP_MASTER,TRK-129,,0,URG-TRK-129,207,Pashto,2,1261.948975,32.5509,65.7056,URG,TRK,Nawa,2301,Tirinkot,????????,Uruzgan,??????,23
2196,2197,Yale POP_MASTER,TRK-160,,0,URG-TRK-160,403,Pashto,2,1280.112061,32.5468,65.7217,URG,TRK,Shor Ab,2301,Tirinkot,????????,Uruzgan,??????,23
2198,2199,Yale POP_MASTER,DWD-118,,0,URG-DWD-118,75,Pashto,2,1504.265991,32.4729,65.492,URG,DWD,Sorkh Baid,2304,Dehrawud,??????,Uruzgan,??????,23
2200,2201,Yale POP_MASTER,DWD-095,,0,URG-DWD-095,56,Pashto,2,1196.547974,32.6091,65.6681,URG,DWD,Lochak,2304,Dehrawud,??????,Uruzgan,??????,23
2201,2202,Yale POP_MASTER,DWD-116,,0,URG-DWD-116,530,Pashto,2,1181.399048,32.6022,65.6796,URG,DWD,Shokhak,2304,Dehrawud,??????,Uruzgan,??????,23
2202,2203,Yale POP_MASTER,TRK-048,,0,URG-TRK-048,645,Pashto,2,1300.659058,32.5368,65.6738,URG,TRK,Balagh,2301,Tirinkot,????????,Uruzgan,??????,23
2203,2204,Yale POP_MASTER,TRK-052,,0,URG-TRK-052,41,Pashto,2,1279.899048,32.5411,65.6928,URG,TRK,Chalaw,2301,Tirinkot,????????,Uruzgan,??????,23
2204,2205,Yale POP_MASTER,TRK-100,,0,URG-TRK-100,50,Pashto,2,1431.897949,32.5062,65.7524,URG,TRK,Karaiz Chawki,2301,Tirinkot,????????,Uruzgan,??????,23
2205,2206,Yale POP_MASTER,TRK-108,,0,URG-TRK-108,213,Pashto,2,1289.80603,32.5366,65.6857,URG,TRK,Khar Toot,2301,Tirinkot,????????,Uruzgan,??????,23
2206,2207,Yale POP_MASTER,TRK-119,,0,URG-TRK-119,252,Pashto,2,1256.552002,32.5583,65.7116,URG,TRK,Loka,2301,Tirinkot,????????,Uruzgan,??????,23
4706,4707,USAID AIDVillageView,DWD-010,,0,URG-DWD-010,0,Pashto,2,1014.5150150000001,32.3723,65.282,URG,DWD,Chenarak,2304,Dehrawud,??????,Uruzgan,??????,23
