,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
12,13,USAID AIDVillageView,PJW-021,,0,KND-PJW-021,0,Pashto,2,899.8209229,31.4453,65.2915,KND,PJW,Wakil Rustam Kalay,3304,Panjwayi,???????,Kandahar,??????,33
27,28,CSO AIMS Villages (ACSOR),ZHR-134,,0,KND-ZHR-134,0,Pashto,2,904.5977783,31.4816,65.30509,KND,ZHR,Kakaran (3),3303,Zheray,???,Kandahar,??????,33
29,30,CSO AIMS Villages (ACSOR),DND-122,,0,KND-DND-122,0,Pashto,2,992.3430176,31.54345,65.75155,KND,DND,Zaker-e Sharif,3301,Kandahar,??????,Kandahar,??????,33
35,36,CSO AIMS Villages (ACSOR),ZHR-143,,0,KND-ZHR-143,0,Pashto,2,976.3203735,31.6193,65.5293,KND,ZHR,Senjaray,3303,Zheray,???,Kandahar,??????,33
40,41,CSO AIMS Villages (ACSOR),SWK-189,,0,KND-SWK-189,0,Pashto,2,1271.1660160000001,31.97,66.1702,KND,SWK,Mohammad Beg,3306,Shahwalikot,??? ??? ???,Kandahar,??????,33
41,42,CSO AIMS Villages (ACSOR),SWK-215,,0,KND-SWK-215,0,Pashto,2,1658.3630369999998,32.21468,65.93778,KND,SWK,Paryan,3306,Shahwalikot,??? ??? ???,Kandahar,??????,33
42,43,CSO AIMS Villages (ACSOR),SWK-177,,0,KND-SWK-177,0,Pashto,2,1684.31604,32.1703,65.92809,KND,SWK,Lwar Kundalan,3306,Shahwalikot,??? ??? ???,Kandahar,??????,33
43,44,CSO AIMS Villages (ACSOR),SWK-231,,0,KND-SWK-231,0,Pashto,2,1057.817017,31.788809999999998,65.75690999999999,KND,SWK,Shah Wali Kot,3306,Shahwalikot,??? ??? ???,Kandahar,??????,33
996,997,Yale POP_MASTER,NIS-195,,0,HLM-NIS-195,1335,Pashto,2,847.6616821,31.7077,64.7749,HLM,NIS,Muslim Abad,3308,Maywand,?????,Kandahar,??????,33
1993,1994,CSO AIMS Villages (ACSOR),SWK-176,,0,KND-SWK-176,0,Pashto,2,1869.567993,32.20019,65.7417,KND,SWK,Lwar Kayghatu,3306,Shahwalikot,??? ??? ???,Kandahar,??????,33
1994,1995,CSO AIMS Villages (ACSOR),SWK-148,,0,KND-SWK-148,0,Pashto,2,1547.026001,32.1602,65.89529,KND,SWK,Karezak,3306,Shahwalikot,??? ??? ???,Kandahar,??????,33
