,PROV_CODE,POP,LANG_CODE,LON_X,LAT_Y,weight_long,weight_lat
0,0.0,149.0,5.0,61.8236,31.0969,61.8236,31.0969
1,1.0,3282121.0,2.0,69.22892494106092,34.588631277013725,69.18018478700208,34.54989827731519
2,2.0,446122.0,1.0,69.55154356576865,34.99579160063388,69.51452506623751,35.01308890034567
3,3.0,549511.0,1.0,68.97295496572,34.97956276199799,69.07384281479351,34.993954428137
4,4.0,591927.0,1.0,68.19170332519957,34.309873869544845,68.45975609676357,34.21264640015574
5,5.0,396607.0,2.0,69.08823034455963,33.99365944430053,69.03618820416678,33.980368325243894
6,6.0,1410153.0,2.0,70.45134300585559,34.28156837996103,70.5096825219675,34.302386744984354
7,7.0,440938.0,2.0,70.19126491803283,34.72845116244415,70.20452652318468,34.73426969721366
8,8.0,118397.0,1.0,69.62825503086427,35.34754703703706,69.63295728320821,35.35149053024993
9,9.0,721996.0,1.0,68.93884477777779,35.89454618954247,68.93690961110585,35.92782837127907
10,10.0,342805.0,1.0,67.12670791179588,34.51419187035064,67.28533752696138,34.669986467466984
11,11.0,1176162.0,1.0,67.8552409240915,33.33415534730358,68.00702851740064,33.31074270457984
12,12.0,555119.0,2.0,69.43417031802126,33.64457971731447,69.47958583141627,33.681219608336235
13,13.0,649910.0,2.0,71.07108258834758,34.90348745940781,71.07925530888892,34.88468821653769
14,14.0,137170.0,7.0,70.70752507407411,35.276757629629614,70.89125687096305,35.3033721172268
15,15.0,794599.0,1.0,70.79054174365936,37.221124542572454,70.6222687745141,37.13892777490277
16,16.0,830687.0,1.0,69.64035575733543,36.82994478984934,69.6187152478852,36.89977449482179
17,17.0,707216.0,2.0,68.94754778672021,36.848397442695,68.93552183393753,36.85105273684421
18,18.0,1124625.0,1.0,66.88738285827394,36.44901868566904,66.97868912336124,36.644811960466804
19,19.0,283610.0,1.0,67.58931976744186,35.954895636114905,67.6825393437467,36.00129370949545
20,20.0,446809.0,1.0,66.19381868905737,35.91250484290357,66.16781701599565,35.93400651441669
21,21.0,612317.0,1.0,65.03806762155051,34.13554614542269,64.99917538160788,34.173633800923476
22,22.0,470354.0,1.0,66.28716840316558,33.861261559590275,66.21450032252302,33.726032257214825
23,23.0,334486.0,2.0,65.99495043296089,32.80924506983235,65.95118658194964,32.80495826375396
24,24.0,293713.0,2.0,67.14974643420254,32.202278690115236,67.19393633615128,32.244532722828076
25,25.0,854372.0,2.0,68.78397764548505,32.71282232107032,68.8972551978997,32.79060239749194
26,26.0,773222.0,2.0,69.85571023781682,33.38141643469788,69.86266287048078,33.38365754161937
27,27.0,443210.0,3.0,65.91857451612901,36.6856122770398,65.9151338752961,36.73999157679204
28,28.0,878939.0,3.0,64.7222334967623,35.91211450508784,64.81071558984189,36.01988026254384
29,29.0,513656.0,1.0,63.69849482695808,35.104314918032806,63.52502896331398,35.1699039785966
30,30.0,1801223.0,1.0,62.357360535858156,34.252861732473804,62.23669311810365,34.30216881773656
31,31.0,471813.0,2.0,62.72617533965249,32.64223176145343,62.32852070801367,32.52046432340783
32,32.0,1487681.0,2.0,64.54171396879566,31.948796099463713,64.50836549548607,31.89604237936085
33,33.0,976051.0,2.0,66.06021677044853,31.60132185048377,65.78104487187647,31.518148595841815
34,34.0,109968.0,5.0,62.099817425044115,31.07182675485009,62.31444479321257,31.27245854475846
