,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
28797,28798,USAID AIDVillageView,ALR-112,,0,LGM-ALR-112,0,Pashto,2,836.1956177,34.7704,70.313,LGM,ALR,Azad Kala,704,Alingar,???????,Laghman,?????,7
28798,28799,USAID AIDVillageView,ALR-114,,0,LGM-ALR-114,0,Pashto,2,1010.369995,34.7609,70.3715,LGM,ALR,Cawarkhel Kalay,704,Alingar,???????,Laghman,?????,7
28799,28800,USAID AIDVillageView,MTM-047,,0,LGM-MTM-047,0,Pashto,2,830.5413818,34.7507,70.2921,LGM,MTM,Tingawar,701,Mehtarlam,???? ???,Laghman,?????,7
28800,28801,CSO AIMS Villages (ACSOR),ALR-009,,0,LGM-ALR-009,260,Pashto,2,979.2241821,34.71966,70.34205,LGM,ALR,Kunda Lam,704,Alingar,???????,Laghman,?????,7
28801,28802,Yale POP_MASTER,ALR-018,,0,LGM-ALR-018,1234,Pashto,2,826.8848877,34.759,70.3038,LGM,ALR,Alo Khail,704,Alingar,???????,Laghman,?????,7
28802,28803,Yale POP_MASTER,ALR-023,,0,LGM-ALR-023,336,Pashto,2,985.2672119,34.7684,70.3739,LGM,ALR,Chopan,704,Alingar,???????,Laghman,?????,7
28803,28804,Yale POP_MASTER,ALR-026,,0,LGM-ALR-026,181,Pashto,2,1194.406982,34.7512,70.3575,LGM,ALR,Dak Kalay,704,Alingar,???????,Laghman,?????,7
28804,28805,Yale POP_MASTER,ALR-032,,0,LGM-ALR-032,511,Pashto,2,1159.75,34.7829,70.2609,LGM,ALR,Gari,704,Alingar,???????,Laghman,?????,7
28805,28806,Yale POP_MASTER,ALR-033,,0,LGM-ALR-033,329,Pashto,2,856.0861206,34.7869,70.3267,LGM,ALR,Ghondi,704,Alingar,???????,Laghman,?????,7
28806,28807,Yale POP_MASTER,ALR-035,,0,LGM-ALR-035,331,Pashto,2,878.3931274,34.7963,70.3442,LGM,ALR,Gul Makach,704,Alingar,???????,Laghman,?????,7
28807,28808,Yale POP_MASTER,ALR-036,,0,LGM-ALR-036,769,Pashto,2,888.5645752,34.7912,70.3402,LGM,ALR,Hal Hajeg,704,Alingar,???????,Laghman,?????,7
28808,28809,Yale POP_MASTER,ALR-037,,0,LGM-ALR-037,1463,Pashto,2,955.7982178,34.7741,70.3649,LGM,ALR,Haram Khail,704,Alingar,???????,Laghman,?????,7
28809,28810,Yale POP_MASTER,ALR-044,,0,LGM-ALR-044,1080,Pashto,2,854.6741943,34.749,70.31,LGM,ALR,Kalatak,704,Alingar,???????,Laghman,?????,7
28810,28811,Yale POP_MASTER,ALR-045,,0,LGM-ALR-045,1068,Pashto,2,990.1348267,34.7641,70.367,LGM,ALR,Kalay,704,Alingar,???????,Laghman,?????,7
28811,28812,Yale POP_MASTER,ALR-052,,0,LGM-ALR-052,760,Pashto,2,871.0266113,34.8025,70.3395,LGM,ALR,Kokhi,704,Alingar,???????,Laghman,?????,7
28812,28813,Yale POP_MASTER,ALR-054,,0,LGM-ALR-054,1536,Pashto,2,847.1038208,34.7648,70.3167,LGM,ALR,Kota Khail,704,Alingar,???????,Laghman,?????,7
28813,28814,Yale POP_MASTER,ALR-056,,0,LGM-ALR-056,1643,Pashto,2,854.6049194,34.7815,70.3177,LGM,ALR,Kunda,704,Alingar,???????,Laghman,?????,7
28814,28815,Yale POP_MASTER,ALR-066,,0,LGM-ALR-066,1046,Pashto,2,917.2808838,34.7763,70.3384,LGM,ALR,Meya Khail Hulya,704,Alingar,???????,Laghman,?????,7
28815,28816,Yale POP_MASTER,ALR-067,,0,LGM-ALR-067,829,Pashto,2,916.0288086,34.7776,70.3455,LGM,ALR,Meya Khail Sufla,704,Alingar,???????,Laghman,?????,7
28816,28817,Yale POP_MASTER,ALR-070,,0,LGM-ALR-070,1588,Pashto,2,835.2241211,34.761,70.3131,LGM,ALR,Nem Nani,704,Alingar,???????,Laghman,?????,7
28817,28818,Yale POP_MASTER,ALR-074,,0,LGM-ALR-074,717,Pashto,2,953.3319702,34.7717,70.3599,LGM,ALR,Panj Kora,704,Alingar,???????,Laghman,?????,7
28818,28819,Yale POP_MASTER,ALR-079,,0,LGM-ALR-079,1616,Pashto,2,850.6115112,34.7726,70.3219,LGM,ALR,Pash Khail,704,Alingar,???????,Laghman,?????,7
28819,28820,Yale POP_MASTER,ALR-083,,0,LGM-ALR-083,1381,Pashto,2,873.2125854,34.7942,70.3287,LGM,ALR,Rajahe,704,Alingar,???????,Laghman,?????,7
28820,28821,Yale POP_MASTER,ALR-084,,0,LGM-ALR-084,1020,Pashto,2,911.0811768,34.7804,70.349,LGM,ALR,Road Kalay,704,Alingar,???????,Laghman,?????,7
28821,28822,Yale POP_MASTER,ALR-098,,0,LGM-ALR-098,431,Pashto,2,866.5626221,34.799,70.3381,LGM,ALR,Sheki,704,Alingar,???????,Laghman,?????,7
28822,28823,Yale POP_MASTER,ALR-100,,0,LGM-ALR-100,705,Pashto,2,1115.16394,34.8092,70.2897,LGM,ALR,Shor Aba,704,Alingar,???????,Laghman,?????,7
28823,28824,Yale POP_MASTER,ALR-105,,0,LGM-ALR-105,685,Pashto,2,874.0679932,34.788,70.3341,LGM,ALR,Tak Lam,704,Alingar,???????,Laghman,?????,7
28824,28825,Yale POP_MASTER,ALR-106,,0,LGM-ALR-106,1392,Pashto,2,824.2896118,34.7491,70.3003,LGM,ALR,Tangor Shor Abad,704,Alingar,???????,Laghman,?????,7
28825,28826,Yale POP_MASTER,ALR-107,,0,LGM-ALR-107,330,Pashto,2,877.6958008,34.8084,70.3508,LGM,ALR,Touri Qala,704,Alingar,???????,Laghman,?????,7
28826,28827,Yale POP_MASTER,MTM-053,,0,LGM-MTM-053,1152,Pashto,2,817.97052,34.7428,70.2862,LGM,MTM,Aba Khail,701,Mehtarlam,???? ???,Laghman,?????,7
